,region,value
0,alaska,135490.98
1,alabama,-1569372.86
2,arkansas,-198018.43
3,arizona,-917936.93
4,california,33131310.63
5,colorado,2234792.62
6,connecticut,1658297.58
7,district of columbia,5922830.92
8,delaware,90310.73
9,florida,-9831658.56
10,georgia,-1195547.62
11,hawaii,491987.23
12,iowa,-241459.86
13,idaho,-478092.18
14,illinois,4419099.98
15,indiana,-575533.0
16,kansas,-417287.02
17,kentucky,-11647.7
18,louisiana,-2119369.72
19,massachusetts,12011059.25
20,maryland,6485796.4
21,maine,838651.13
22,michigan,-570401.56
23,minnesota,1351220.1
24,missouri,-520102.67
25,mississippi,-636005.94
26,montana,-292094.28
27,north carolina,-253804.08
28,north dakota,-124018.96
29,nebraska,-7272.68
30,new hampshire,614968.58
31,new jersey,-874775.81
32,new mexico,1201981.77
33,nevada,-367700.96
34,new york,44986329.29
35,ohio,-4555028.43
36,oklahoma,-743798.46
37,oregon,2764423.86
38,pennsylvania,1075261.19
39,rhode island,983120.21
40,south carolina,-3028503.57
41,south dakota,-72088.88
42,tennessee,-1650266.17
43,texas,-29201472.98
44,utah,-469355.38
45,virginia,930788.31
46,vermont,2412388.22
47,washington,5814586.74
48,wisconsin,-1027700.51
49,west virginia,-12736.04
50,wyoming,-567255.27
